run_id,scenario,status,start_time,end_time,duration_seconds,requested_instances,deployment_id,recovery_id,healthy_count,unhealthy_count,notes
run20260411-190111-65,scale_down_1,success,2026-04-11T19:01:11-04:00,2026-04-11T19:01:45-04:00,34,1,dep-20260411230111-af6327b9,,0,1,scaled down to 1
run20260411-190145-65,kill_and_recover_app3,failed,2026-04-11T19:01:46-04:00,2026-04-11T19:02:24-04:00,39,5,dep-20260411230146-aec46b1a,rec-20260411230222-0bcdb13d,0,5,killed app3 and recovered
run20260411-190224-66,base_deploy_1,success,2026-04-11T19:02:24-04:00,2026-04-11T19:03:04-04:00,40,1,dep-20260411230224-8e212cb3,,0,1,base deployment to 1 instance
run20260411-190304-66,scale_up_5,success,2026-04-11T19:03:04-04:00,2026-04-11T19:03:42-04:00,38,5,dep-20260411230304-7e017a66,,0,5,scaled up to 5
run20260411-190342-66,scale_down_1,success,2026-04-11T19:03:42-04:00,2026-04-11T19:04:17-04:00,35,1,dep-20260411230342-ab9a2a6c,,0,1,scaled down to 1
run20260411-190417-66,kill_and_recover_app3,failed,2026-04-11T19:04:17-04:00,2026-04-11T19:04:57-04:00,40,5,dep-20260411230417-5381b02c,rec-20260411230456-4a4cd510,0,5,killed app3 and recovered
run20260411-190457-67,base_deploy_1,success,2026-04-11T19:04:57-04:00,2026-04-11T19:05:38-04:00,41,1,dep-20260411230457-e3ce85c6,,0,1,base deployment to 1 instance
run20260411-190538-67,scale_up_5,success,2026-04-11T19:05:38-04:00,2026-04-11T19:06:19-04:00,41,5,dep-20260411230538-e4a1b07e,,0,5,scaled up to 5
run20260411-190619-67,scale_down_1,success,2026-04-11T19:06:19-04:00,2026-04-11T19:06:59-04:00,40,1,dep-20260411230619-ae643c65,,0,1,scaled down to 1
run20260411-190659-67,kill_and_recover_app3,failed,2026-04-11T19:06:59-04:00,2026-04-11T19:07:44-04:00,45,5,dep-20260411230659-33f2a264,rec-20260411230742-dd1bb3b3,0,5,killed app3 and recovered
run20260411-190744-68,base_deploy_1,success,2026-04-11T19:07:44-04:00,2026-04-11T19:08:28-04:00,44,1,dep-20260411230744-e03b9518,,0,1,base deployment to 1 instance
run20260411-190828-68,scale_up_5,success,2026-04-11T19:08:29-04:00,2026-04-11T19:09:12-04:00,43,5,dep-20260411230829-dceb97f5,,0,5,scaled up to 5
run20260411-190912-68,scale_down_1,success,2026-04-11T19:09:12-04:00,2026-04-11T19:09:51-04:00,39,1,dep-20260411230912-cda84c2d,,0,1,scaled down to 1
run20260411-190951-68,kill_and_recover_app3,failed,2026-04-11T19:09:51-04:00,2026-04-11T19:10:36-04:00,45,5,dep-20260411230951-d6e15a34,rec-20260411231034-077f8f82,0,5,killed app3 and recovered
run20260411-191036-69,base_deploy_1,success,2026-04-11T19:10:36-04:00,2026-04-11T19:11:18-04:00,42,1,dep-20260411231036-08e3aedb,,0,1,base deployment to 1 instance
run20260411-191118-69,scale_up_5,success,2026-04-11T19:11:19-04:00,2026-04-11T19:12:01-04:00,42,5,dep-20260411231119-2800a472,,0,5,scaled up to 5
run20260411-191201-69,scale_down_1,success,2026-04-11T19:12:01-04:00,2026-04-11T19:12:40-04:00,39,1,dep-20260411231201-1224fff6,,0,1,scaled down to 1
run20260411-191240-69,kill_and_recover_app3,failed,2026-04-11T19:12:40-04:00,2026-04-11T19:13:23-04:00,43,5,dep-20260411231240-f6ee1dc6,rec-20260411231322-6793923d,0,5,killed app3 and recovered
run20260411-191323-70,base_deploy_1,success,2026-04-11T19:13:23-04:00,2026-04-11T19:14:07-04:00,44,1,dep-20260411231323-0876de32,,0,1,base deployment to 1 instance
run20260411-191407-70,scale_up_5,success,2026-04-11T19:14:07-04:00,2026-04-11T19:14:50-04:00,43,5,dep-20260411231407-19972012,,0,5,scaled up to 5
run20260411-191450-70,scale_down_1,success,2026-04-11T19:14:50-04:00,2026-04-11T19:15:31-04:00,41,1,dep-20260411231450-bae5b3ea,,0,1,scaled down to 1
run20260411-191531-70,kill_and_recover_app3,failed,2026-04-11T19:15:31-04:00,2026-04-11T19:16:18-04:00,47,5,dep-20260411231531-65134d31,rec-20260411231616-7ba9ba70,0,5,killed app3 and recovered
run20260411-191618-71,base_deploy_1,success,2026-04-11T19:16:18-04:00,2026-04-11T19:17:00-04:00,42,1,dep-20260411231618-e472e391,,0,1,base deployment to 1 instance
